Title,URL,Pub_Date,PoCOrganisation,Format,General classification of dataset type,Topic or theme,classification_and_access_restrictions,Point of contact,Contact Publisher,Publication status
Land systems - land resources of the Burnett region Queensland part 3 - North Burnett - ABN,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={A2C15708-C825-4FB6-AC2C-CFC56D6817B5},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land systems - land resources of the Miriam Vale and Kolan Shires - central Queensland - MVK,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={954DE148-B55E-4CB2-B8A1-159938F323F0},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land systems - land resources of the Three Moon Creek catchment - 3MC,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={5D1C022C-AC0F-4990-859A-DF8B4E06BFDD},20/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land systems - land systems of the Capricornia coast - CCL3,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={7777790B-2B53-48AB-9128-37EAF81572C5},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land systems - lands of the Balonne-Maranoa area - Queensland - ZBA2,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={378BB481-D710-452B-B0D2-A45296217480},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land systems - lands of the Dawson-Fitzroy area - Queensland - ZDD3,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={AA0A5141-09C9-474A-83F2-8969A48ADACA},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land systems - lands of the Isaac-Comet area - central Queensland - ZDK3,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={126AC614-94A8-4A09-8113-F3F455BB1540},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land systems - lands of the Leichardt-Gilbert area - north-west Queensland - ZEG2,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={ED7EEC31-119A-45B3-985B-56056DC9B6B3},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land systems - lands of the Mitchell-Normanby area - Queensland - ZMN2,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={AE0FE577-9EFD-4CC5-AB40-9962189B1C02},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land systems - lands of the Nogoa-Belyando area - Queensland - ZCQ2,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F331EA63-9D0D-4739-9BB6-5C9C95DB9853},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
"Land systems - survey of the Barkly region, Northern Territory and Queensland - ZCL2",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={7631069E-49F7-4576-AB04-2C4A6E827329},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land systems - western arid region land use study - part 1 - AWA2,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={774C9794-080C-4AB8-986D-A9838F3C0844},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land systems - western arid region land use study - part 2 - BWA2,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E276F63B-EF36-4A75-A973-B88DEE500EF4},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land systems - western arid region land use study - part 3 - DWA2,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={A7E1471E-AF18-4E3F-96A7-28FC32C8C7D5},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land systems - western arid region land use study - part 4 - CWA2,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E315E0E7-F563-4E69-B6D8-48A39393735C},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land systems - western arid region land use study - part 5 - FWA2,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={24B4D9F0-8D1B-4C88-AFA8-CF33561DCCD1},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land systems - western arid region land use study - part 6 - HWA2,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={2B75383A-CED4-4A11-B646-7BA63B92490B},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
"Land systems of the Nebo-Broadsound area, Central Queensland - NBS",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={3255F9FE-1670-4FD8-8D42-E2D086BE1278},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
"Land systems of the Townsville-Bowen region, North Queensland - ZCI",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E442A4B7-F805-42D3-AE48-BF0ED9F38B56},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land systems series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D9EC6E36-AA42-493D-8B06-63988EFE78D8},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land use mapping - 1999 to 2011 - Maroochy Noosa catchment,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={C47D5458-CC3B-4ACB-9458-50EC3552A7EC},17/12/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2012 - Bremer catchment,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={9952324D-287E-462E-8CD3-739AA4CD47FD},17/12/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2012 - Condamine NRM,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F7F789B6-4B33-4E9E-8975-17F99E5A90B0},5/11/2014,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2012 - Lockyer Creek catchment,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={72DED941-9C1F-4512-9B2E-CFC030077074},27/05/2014,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2012 - Logan Albert catchment,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={5E55F4B2-FBEE-43D4-8E36-8E688D8FCD03},17/12/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2012 - Moreton Bay Islands,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={BF9174ED-43ED-49C9-8B27-0ECCFAC76004},17/12/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2012 - Pine catchment,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={77AC9729-A55C-44D4-BCAB-3F287DC267FF},26/05/2014,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2012 - South Coast catchment,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={59A58A58-8395-4909-BCE1-60EE760D5091},16/12/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2012 - Stanley River catchment,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={80F6F071-1BB2-4168-AB10-2DE32BCAD21B},26/05/2014,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2013 - Border Rivers,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={90F3A4F1-C7AA-42A8-B3F1-594A2366B6A9},4/05/2015,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2013 - Brisbane River catchment,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={7D55E8EB-11EB-4B18-9D4E-F5D8AF9B2D24},27/05/2014,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2013 - Cape York and Torres Strait Islands NRM,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={49DE23DE-916F-44B8-B38F-04058FF06324},4/05/2015,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2013 - Maranoa and Balonne,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={98A2F8EB-56C8-421A-B4F8-9655CAF75862},29/10/2015,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2013 - South East Queensland NRM,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={C3CD23AD-7101-4765-8BED-AFC2C5DF1F5F},4/06/2014,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2015 - Northern Gulf NRM,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={6E437B2A-B935-43B1-A8E4-115F34343047},5/09/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2015 - South West NRM,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={BF32FC7B-BFE4-426A-B31B-DC6C974D8AD3},1/03/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2015 - Southern Gulf NRM,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={BF1B68AC-0A45-4EC0-AA2E-7E1340F68605},5/09/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2015 - Wet Tropics NRM region,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={0082B3DB-A37F-44A1-B4CD-FC9C70644CA7},14/01/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2016 - Burdekin NRM,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={8D21F3DA-A90E-4227-BDDA-19B050B68F01},27/03/2018,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2016 - Desert Channels NRM,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={4C1B8EF7-8B89-427D-B9BB-F11DEECCD2FA},24/03/2017,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2016 - Mackay Whitsunday NRM,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F305F770-C692-4B2E-B04F-03E46CDADA0A},11/08/2017,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2017 - Burnett Mary NRM,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={62813E01-B853-4E93-8586-7B44E8D6DEE3},13/03/2019,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to 2017 - Fitzroy NRM,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={96228E4D-697D-430C-A3BD-3719F3AF8C30},20/06/2019,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping - 1999 to Current - Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={273F1E50-DD95-4772-BD6C-5C1963CAA594},14/06/2019,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Land use mapping series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={BE30CE16-B1B9-48B1-BF21-DBE70597FA93},10/08/2017,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE CLASSES,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landcover mosaic 1991 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={7C8C16B1-0E02-4ADE-9360-72F17EFD1259},7/04/2005,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landcover mosaic 2001 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={6DE1355E-23EF-4504-99F0-C7EFCB2FC128},7/04/2005,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landcover mosaic series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={A0B7A442-DBF7-48EE-AE0E-B800D04E2AFC},20/03/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat and Sentinel2 fire scars 2016 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={1E3F9F66-0C80-4124-8A2E-A8BA152F81A4},6/12/2017,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 1987 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E8CDB602-7D1B-46AF-82C5-21736DED7DEC},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 1988 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={1F22A4E6-6746-4B5E-87D1-8BAFE04A279E},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 1989 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={5BFF82BB-7195-45CE-8128-E67C0E0743BD},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 1990 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F0837B41-3083-4832-B25F-2842510CF9C8},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 1991 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={84E88E7A-5419-4155-A99B-DA0152335F6C},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 1992 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={5F1675FC-E587-48A7-B050-EF5377B4562C},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 1993 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={1711E631-B7C0-4161-B621-C3B15CFE03B1},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 1994 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={4ED9DEC8-8620-4A5A-80AE-E2BDE86FFAB7},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 1995 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={51FA157B-C599-4123-A922-19D128D20579},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 1996 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={82DC6743-B3F4-4ADA-A77F-DADD872AD225},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 1997 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={4A9B9523-E4FA-4AA4-9487-BA2AA8856F68},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 1998 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={31406446-992C-4067-A088-6910F815F6EB},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 1999 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={4BD12AF5-000F-4A75-B6A7-41BF3A82B1C3},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 2000 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={432AC7ED-FE9A-4D63-A8A4-60725586FE6D},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 2001 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={DFCAF60C-1FE2-4CFA-974C-FF2295067E85},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 2002 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={3074A003-44E4-4B21-BCD8-FD420CE55BE1},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 2003 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={2430E17F-5256-4341-BA33-C3949E40ACA4},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 2004 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={B626447E-8469-4EE8-BF59-C7CFC8ACA263},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 2005 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={DF4A62DA-5E24-4D30-8415-23981C2B32F6},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 2006 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D9F68F66-1BED-4D68-82F1-4C2FFC9E8B85},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 2007 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F096B437-134D-4921-AEF8-0B705FB1B9C9},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 2008 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E635BBBF-86AE-4AF8-BF34-A2CE5CEC3FAA},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 2009 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={C7E3CBC0-0C5B-413E-B432-45996A267269},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 2010 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D3F7DC2E-313C-4E86-9725-C3A1789BC40B},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 2011 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={91369E60-FFFC-44B2-82D9-462607C9DC4D},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 2012 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={3F3A5E36-6F9F-405F-AFC3-4BAA746919B4},14/11/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 2013 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={2B95F32D-E6BD-4D53-A3B5-97371C4490D4},30/06/2014,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 2014 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={1D195770-564C-4E3A-9EDD-4E55C277878B},22/05/2015,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars 2015 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={B5329904-D4A4-41E9-9C29-B240ECFBEEC7},17/05/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat fire scars Queensland series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={454679E9-9802-4104-9397-B80EAF100F7C},9/01/2014,Department of Environment and Science,Esri File Geodatabase,Dataset,FIRE HISTORY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat Foliage Projective Cover - Queensland 2014,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E3A795AC-867D-4AA2-96DA-FF6F7BC6F3CD},15/08/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Landsat Woody Vegetation Extent - Queensland 2014,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={B798182B-4DFC-41FF-ABC1-B7095DF8EFAA},15/08/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Mangrove and associated vegetation communities - 1955 - Moreton Bay area - Southeast Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={671EA1A8-4F5E-45F2-A55C-80CA4AC1B328},31/10/2019,Department of Environment and Science,Esri File Geodatabase,Dataset,MANGROVES,OFFICIAL,Arnon Accad,Department of Environment and Science,completed
Mangrove and associated vegetation communities - 1997 - Moreton Bay area - Southeast Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={0DA6B8B3-F0B1-4836-82D0-40EC4E81F5AC},31/10/2019,Department of Environment and Science,Esri File Geodatabase,Dataset,MANGROVES,OFFICIAL,Arnon Accad,Department of Environment and Science,completed
Mangrove and associated vegetation communities - 2012 - Moreton Bay area - Southeast Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={84EC7D78-A6EC-4303-89D2-F907D3993BD7},31/10/2019,Department of Environment and Science,Esri File Geodatabase,Dataset,MANGROVES,OFFICIAL,Arnon Accad,Department of Environment and Science,completed
Mangrove and associated vegetation communities - 2016 - Moreton Bay area - Southeast Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={5147713F-05F3-4902-A096-F7FD8C10B5F9},31/10/2019,Department of Environment and Science,Esri File Geodatabase,Dataset,MANGROVES,OFFICIAL,Arnon Accad,Department of Environment and Science,completed
Mangrove and associated vegetation communities - 2017 - Gulf of Carpentaria - Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={8BA4CD53-8955-455D-A3C0-DD4CE2CDAEBD},30/06/2019,Department of Environment and Science,Esri File Geodatabase,Dataset,MANGROVES,OFFICIAL,Arnon Accad,Department of Environment and Science,completed
Mangrove and associated vegetation communities - Moreton Bay area - Southeast Queensland - Series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={0FB67FDE-084A-4BEC-A957-EA799C0B985E},31/10/2019,Department of Environment and Science,Esri File Geodatabase,Dataset,MANGROVES,OFFICIAL,Arnon Accad,Department of Environment and Science,completed
Mapping erodible soils in Burdekin Dry Tropics grazing lands series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={2B09EAA7-1456-4BAA-85A6-E750679C7AC0},31/03/2015,Department of Environment and Science,Esri File Geodatabase,Dataset,SOIL EROSION,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
